candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
31,c006_s2_00320,m1d_b20260827_c006,3.2,G-H,AMBIGUOUS,,-0.05995963475528565,0.16682625056589173,-0.023604681981489913,0.02318924378515714,0.5089575623979313,0.06567552665795864,0.030455248631070048,1.0782300196189718,False,True,0.24125122037939267,unsupported_required_contrast,,0.09542,0.00035759135748416574,2012.093444813056,0.16682625056589173
32,c006_s2_00400,m1d_b20260827_c006,4.0,G-H,AMBIGUOUS,,0.04907196730061458,0.15873574063628348,0.015825006653688214,0.014812952264926916,0.5341611304303454,0.05119000296765862,0.014845842932068186,1.724051749769095,False,True,0.04907196730061452,no_unique_preregistered_class,,0.09542,0.00035759135748416574,2560.2722624669987,0.15873574063628348
33,c006_s2_00500,m1d_b20260827_c006,5.0,G-S,AMBIGUOUS,,-0.11010796555825009,0.003501874421913964,-0.03660904064467009,0.010934635164789687,1.6739946094659766,0.001164314156513599,0.020001412799897107,0.029105797879427513,True,False,0.1276669928295675,unsupported_required_contrast,,0.09542,0.00035759135748416574,2682.3635016394114,0.11010796555825009
34,c006_s2_00640,m1d_b20260827_c006,6.4,G-S,AMBIGUOUS,,0.08538692189493546,0.0006441285720188983,0.028599863823843424,0.016582245759361267,0.8623640078334318,0.00021574720151473076,0.016304717906717732,0.006616097339097183,False,False,0.0006441285720188247,no_unique_preregistered_class,,0.09542,0.00035759135748416574,2688.955263977373,0.08538692189493546
35,c006_s2_00800,m1d_b20260827_c006,8.0,G-S,HOLD,AMBIGUOUS,0.02966957363222167,-0.006509751209462511,0.009716895666368444,0.012093603138753779,0.4017369990929664,-0.0021319677222347276,0.020236402813633734,0.05267654883797755,False,False,-0.0065097512094624945,,unsupported_required_contrast,0.09542,0.00035759135748416574,2735.0082886334017,0.02966957363222167
36,c007_s2_00125,m1d_b20260827_c007,1.25,G-W,HOLD,HOLD,-0.009736553894542865,0.00047705824860910795,-0.001835320530807262,0.0015038825843157668,0.6101940902661268,8.992450589260376e-05,0.0006998485174207121,0.06424569292796392,False,False,-0.009736553894542895,,,0.08674899999999999,0.00036007740395935066,4126.163840872062,0.009736553894542865
37,c007_s2_00160,m1d_b20260827_c007,1.6,G-W,AMBIGUOUS,,-0.04698530575720361,0.017640326707204057,-0.008145249151630224,0.006792538766152753,0.5995732547172223,0.0030580806877968597,0.0026828733427252845,0.5699263992631193,False,False,0.06781179015897021,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,4218.244404133419,0.04698530575720361
38,c007_s2_00200,m1d_b20260827_c007,2.0,G-W,AMBIGUOUS,,0.06092635431695248,0.0039420842104491705,0.007454986721620684,0.007061703733876736,0.5278461829159776,0.0004823558831622148,0.002114175868330541,0.11407657479864888,False,False,0.003942084210449079,no_unique_preregistered_class,,0.08674899999999999,0.00036007740395935066,5544.433875464151,0.06092635431695248
39,c007_s2_00250,m1d_b20260827_c007,2.5,G-H,AMBIGUOUS,,-0.00752414226475373,0.036100538328300846,-0.0010230438025245348,0.005087024782386189,0.10055423811446934,0.004908523882858435,0.004554469975728918,0.5388688375394167,False,False,-0.0075241422647537755,no_unique_preregistered_class,,0.08674899999999999,0.00036007740395935066,5184.262700963995,0.036100538328300846
40,c007_s2_00320,m1d_b20260827_c007,3.2,G-H,AMBIGUOUS,,-0.07501810807133891,-0.0414581315479402,-0.01134381707746648,0.003934025722005578,1.4417568515138444,-0.006269065866152587,0.005814513738754406,0.5390877163440632,True,False,0.036281765963465,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,4958.51405902446,0.07501810807133891
41,c007_s2_00400,m1d_b20260827_c007,4.0,G-H,AMBIGUOUS,,-0.022651047927816137,0.026629684941424925,-0.0036014121663555795,0.005290120730937749,0.3403903568111174,0.00423399710423505,0.004512135647868541,0.4691788362164068,False,False,0.05042286356859099,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,4687.538977092142,0.026629684941424925
42,c007_s2_00500,m1d_b20260827_c007,5.0,G-S,AMBIGUOUS,,-0.029771268066207224,0.03685129536544163,-0.00420047587605001,0.004707972022653728,0.4461024678819502,0.005199408263010263,0.005377497384764836,0.48344126375039037,False,False,0.0686668630178179,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,5054.261468974768,0.03685129536544163
43,c007_s2_00640,m1d_b20260827_c007,6.4,G-S,AMBIGUOUS,,0.08995705954593713,-0.01057837090726177,0.013168523806000832,0.004325224631256065,1.5222936296578697,-0.0015485335984091937,0.0034850996719014917,0.22216489400492587,True,False,0.1016103019148532,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,4840.775424115238,0.08995705954593713
