config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c030,193.78864570883923,300.3486626150353,345.81938390178624,146.13984962821894,1.8398450884553952,2.4882875448935318,2.2661223030940705,1.8396362733568126,0,0,0,0.004238854893635202,0.011747784816917524,0.03291646553387841,0.0664447336344415,7.700673849269812,0.030718144864648005,3,2,1,2,1,3,S4,S3,-0.3333333333333333,-0.5,0.9875397649513381,1,1,1,1,1,0,0
m1d_b20260827_c031,225.17450292146174,324.176139560509,46.31049311741349,86.63379297052653,1.6414104797682725,2.551791419169943,1.7953660633700776,2.0880425264948257,1,0,0,0.002991921351145739,0.026557434466791662,0.01833382753511421,0.038166001453972684,3.906208343574482,2.894813973227772,3,1,2,3,1,2,S3,S3,1.0,1.0,0.571150867881123,1,1,0,0,1,1,0
m1d_b20260827_c032,185.8065587731262,329.54818487832245,141.96097421065446,287.7018729865537,1.6173795292766404,2.0811288162217534,2.225541192030656,1.9517251855946902,1,1,0,0.007239317903758782,0.007583800287688473,0.025435808706959964,1.6144605543954145,0.0013748830915448404,0.7219501182836129,3,2,1,1,3,2,S4,S2,-0.3333333333333333,-0.5,0.690593947083937,1,1,1,1,1,1,1
m1d_b20260827_c033,189.7435452945848,138.09963358029674,288.32777188456964,96.31977573379771,1.5335439027720263,2.5640119599950886,1.7565808944706143,1.986190571741647,1,1,0,0.001473967180111552,0.02217663330846602,0.023429581438516877,0.0001319748924029756,0.3116291317400738,0.30296020872392265,3,2,1,3,1,2,S4,S3,0.3333333333333333,0.5,0.5069437547637328,1,1,1,0,1,1,0
m1d_b20260827_c034,201.7044002147303,46.15142283271223,114.33147093493649,309.2559062574628,1.9901201957377601,2.50351792695324,1.7371313517929152,2.319300273376167,0,0,0,0.004724880725411695,0.04123853878188719,0.010215598916774824,11.478673874214625,1.7745487832482845,2.253393666093039,3,1,2,1,3,2,S3,S2,-1.0,-1.0,0.7402436247021527,1,1,1,1,1,1,1
m1d_b20260827_c035,204.7849405453632,137.57185997098244,263.35860121627644,339.08673761163897,1.985737937829058,1.5877866709331123,1.7126528545015036,1.835176982841333,1,0,0,0.03079482514009626,0.03951791394695001,0.03305732271718537,0.0334482042159494,0.05810460808361721,16.69375235040367,3,1,2,3,2,1,S3,S4,0.3333333333333333,0.5,0.9945456569652962,1,1,1,0,1,0,0
m1d_b20260827_c036,175.23714317267286,310.5583066673183,10.940641620836669,220.95777926543124,1.5253297147939038,2.523804692330276,1.8709987601945786,2.252908824467249,0,0,0,0.003972814585136836,0.030414905479670348,0.012148356291794803,0.21294727914466596,3.4976088092914495,0.004600734924417803,3,1,2,2,1,3,S3,S3,0.3333333333333333,0.5,0.9414431141368883,1,1,0,1,1,0,0
m1d_b20260827_c037,181.760985927092,305.39961690471677,14.115050532343215,246.27285853365288,1.9873774435509666,1.8418020528436827,1.717589226373378,2.054104029565906,0,0,0,0.022232256578083604,0.04296720093627919,0.019828587323571876,2.6028948989504896,30.645961877981037,0.09377646372550123,2,1,3,2,1,3,S3,S3,1.0,1.0,0.9191224237386341,1,1,0,0,1,0,0
m1d_b20260827_c038,208.47819339525006,132.3000038716837,19.755193654826616,319.91205267926307,1.5624733797290207,2.098654782605635,1.749303516314383,2.51308428049659,1,0,0,0.010386701383517358,0.038098304225031625,0.005981962655271307,0.023875408948593295,4.570865723943158,0.2976173529469333,2,1,3,3,1,2,S3,S3,0.3333333333333333,0.5,0.9342867529380536,1,1,0,1,1,0,0
m1d_b20260827_c039,234.734267750737,326.35309181115986,10.021846432231607,52.47125689547044,1.5578045737875579,2.044720550122247,2.0401417391626167,1.5270318124689632,1,1,0,0.009532529240530203,0.005578044691613559,0.06357167660833281,0.03594266953084789,0.10546703734938609,5.8120551949409744,2,3,1,3,2,1,S4,S4,0.3333333333333333,0.5,0.9762474946586188,1,1,0,1,1,0,0
m1d_b20260827_c040,232.26752017592185,150.1112654696929,334.8904681369953,29.49609761607693,1.6844314151302777,2.434507626497819,2.4903614100021336,1.5982125790131383,0,0,0,0.007490727243814511,0.003108677407328317,0.05511377187975133,0.06384330593233752,0.01378372177893611,8.272563755006964,2,3,1,2,3,1,S4,S4,1.0,1.0,0.9907035623818402,1,1,0,0,1,0,0
m1d_b20260827_c041,237.5785589514611,1.6505449983240084,189.30965744645687,142.18592347567974,1.884707634436811,2.1629845979502287,2.215752588302865,2.0737979697566624,0,1,1,0.015159546413816338,0.007807630886913929,0.009147706889821304,4.64948959681663,0.002629374333947361,0.43159850435911845,1,3,2,1,3,2,S2,S2,1.0,1.0,0.9145845769783794,1,1,0,0,1,0,0
